Player,Pos,Seasons,Indct,From,To,AP1,PB,St,G,Cmp,Patt,PYds,PTD,PLng,PInt,Sk,Ratt,Ryds,RTD,RLng,Rec,RcYds,RcTD,RcLng
Mel Hein\HeinMe20,C,14,1963,1931,1945,5,4,15,170,0,1,0,0,0,0,,1,1,0,1,2,20,0,13
George Trafton\TrafGe20,C,12,1964,1920,1932,2,0,9,148,,,,,,,,,,,,,,,
Bulldog Turner\TurnBu21,C,12,1966,1940,1952,7,4,12,138,,,,,,,,1,48,1,48,1,2,0,2
Alex Wojciechowicz\WojcAl20,C,12,1968,1938,1950,0,0,6,134,,,,,,,,,,,,4,44,0,13
Jim Otto\OttoJi00,C,14,1980,1960,1974,10,12,15,210,,,,,,,,,,,,,,,
Jim Ringo\RingJi00,C,14,1981,1953,1967,6,10,14,187,,,,,,,,0,13,0,13,,,,
Frank Gatski\GatsFr00,C,11,1985,1946,1957,3,1,10,144,,,,,,,,,,,,,,,
Jim Langer\LangJi00,C,11,1987,1970,1981,4,6,8,151,,,,,,,,,,,,,,,
Mike Webster\WebsMi00,C,16,1997,1974,1990,5,9,14,245,,,,,,,,,,,,,,,
Dwight Stephenson\StepDw00,C,7,1998,1980,1987,4,5,6,114,,,,,,,,,,,,,,,
Dermontti Dawson\DawsDe00,C,12,2012,1988,2000,6,7,10,184,,,,,,,,,,,,,,,
Mick Tingelhoff\TingMi00,C,16,2015,1962,1978,5,6,17,240,,,,,,,,,,,,,,,
Emlen Tunnell\TunnEm00,DB,13,1967,1948,1961,4,9,10,167,1,2,23,0,23,0,,17,43,0,15,5,39,0,14
Jack Christiansen\ChriJa00,DB,7,1970,1951,1958,6,5,8,89,,,,,,,,19,143,2,65,3,32,0,11
Night Train Lane\LaneDi00,DB,13,1974,1952,1965,3,7,12,157,,,,,,,,,,,,8,253,1,98
Larry Wilson\WilsLa00,DB,12,1978,1960,1972,5,8,13,169,0,2,0,0,0,0,0,5,36,1,35,,,,
Yale Lary\LaryYa00,DB,12,1979,1952,1964,3,9,11,133,0,4,0,0,0,0,,10,153,0,32,,,,
Herb Adderley\AddeHe00,DB,11,1980,1961,1972,4,5,12,164,,,,,,,,,,,,,,,
Willie Brown\BrowWi01,DB,15,1984,1963,1978,5,9,13,204,,,,,,,,,,,,,,,
Ken Houston\HousKe02,DB,13,1986,1967,1980,2,12,13,196,,,,,,,,,,,,,,,
Willie Wood\WoodWi00,DB,11,1989,1960,1971,5,8,11,166,,,,,,,,,,,,,,,
Mel Blount\BlouMe00,DB,13,1989,1970,1983,2,5,14,200,,,,,,,,,,,,,,,
Lem Barney\BarnLe00,DB,10,1992,1967,1977,2,7,11,140,,,,,,,,5,45,0,27,,,,
Jimmy Johnson\JohnJi01,DB,15,1994,1961,1976,4,5,14,213,,,,,,,,,,,,40,690,4,80
Mel Renfro\RenfMe00,DB,13,1996,1964,1977,1,10,13,174,,,,,,,,8,52,0,27,4,65,0,42
Mike Haynes\HaynMi01,DB,13,1997,1976,1989,2,9,12,177,,,,,,,,,,,,,,,
Paul Krause\KrauPa00,DB,15,1998,1964,1979,3,8,15,226,1,2,11,1,11,0,0,1,0,0,0,2,17,0,13
Ronnie Lott\LottRo00,DB,13,2000,1981,1994,6,10,14,192,,,,,,,,,,,,,,,
Roger Wehrli\WehrRo00,DB,13,2007,1969,1982,3,7,13,193,0,1,0,0,0,0,1,5,45,1,19,,,,
Emmitt Thomas\ThomEm00,DB,12,2008,1966,1978,1,5,11,181,,,,,,,,,,,,,,,
Darrell Green\GreeDa00,DB,19,2008,1983,2002,1,7,15,295,,,,,,,,1,6,0,6,,,,
Rod Woodson\WoodRo01,DB,16,2009,1987,2003,6,11,15,238,,,,,,,,1,0,0,0,0,0,0,0
Dick LeBeau\LeBeDi00,DB,13,2010,1959,1972,0,3,12,185,,,,,,,,,,,,,,,
Deion Sanders\SandDe00,DB,16,2011,1989,2005,6,8,12,188,0,2,0,0,0,0,0,9,-14,0,8,60,784,3,70
Jack Butler\ButlJa00,DB,8,2012,1951,1959,3,4,8,104,,,,,,,,,,,,7,102,4,33
Aeneas Williams\WillAe00,DB,13,2014,1991,2004,3,8,13,211,,,,,,,,,,,,,,,
Kenny Easley\EaslKe00,DB,6,2017,1981,1987,3,5,7,89,,,,,,,,,,,,,,,
Brian Dawkins\DawkBr00,DB,15,2018,1996,2011,4,9,14,224,,,,,,,,,,,,1,57,1,57
Andy Robustelli\RobuAn00,DE,13,1971,1951,1964,6,7,14,175,,,,,,,,,,,,2,75,1,49
Gino Marchetti\MarcGi00,DE,14,1972,1952,1966,7,11,13,161,,,,,,,,,,,,1,36,1,19
Len Ford\FordLe00,DE,10,1976,1948,1958,4,4,11,125,,,,,,,,,,,,67,1175,8,0
Deacon Jones\JoneDe00,DE,13,1980,1961,1974,5,8,13,191,,,,,,,,,,,,,,,
Willie Davis\DaviWi01,DE,11,1981,1958,1969,5,5,11,162,,,,,,,,,,,,,,,
Doug Atkins\AtkiDo00,DE,16,1982,1953,1969,1,8,15,205,,,,,,,,,,,,,,,
Lee Roy Selmon\SelmLe00,DE,8,1995,1976,1984,1,6,9,121,,,,,,,,,,,,,,,
Howie Long\LongHo00,DE,12,2000,1981,1993,2,8,11,179,,,,,,,,,,,,,,,
